,value,label
7284,Leon - High Holborn,Leon - High Holborn
10842,Leon - Kings Cross,Leon - Kings Cross
7682,Leon - Kingsway,Leon - Kingsway
6570,Leon - Ludgate Circus,Leon - Ludgate Circus
9522,Leon - More London,Leon - More London
6331,Leon - Regent Street,Leon - Regent Street
6297,Leon - South Kensington Station,Leon - South Kensington Station
5158,Leon - Spitalfields,Leon - Spitalfields
4550,Leon - The Strand,Leon - The Strand
6527,Leon - Tottenham Court Road,Leon - Tottenham Court Road
10086,Leon - Victoria Place,Leon - Victoria Place
5170,Leon - Victoria Street,Leon - Victoria Street
7627,Leon West End,Leon West End
5410,Leonardo Caffe,Leonardo Caffe
8176,Leonardo Wine Bar,Leonardo Wine Bar
7116,Leong's Legend,Leong's Legend
7734,Lerryn's,Lerryn's
620,Les 110 de Taillevent,Les 110 de Taillevent
1702,Les Associes,Les Associes
4788,Les Deux Amies Shoreditch,Les Deux Amies Shoreditch
715,Les Douceurs de la Tentation,Les Douceurs de la Tentation
2738,Les Gourmets des Ternes,Les Gourmets des Ternes
5909,Les Petits Gourmets,Les Petits Gourmets
3912,Levant Restaurant,Levant Restaurant
1548,Levante Mediterranen Restaurant,Levante Mediterranen Restaurant
5841,Levante Pide Restaurant,Levante Pide Restaurant
3237,Levi Roots Caribbean Smokehouse,Levi Roots Caribbean Smokehouse
9007,Leyla,Leyla
5458,Leyton Technical Pub,Leyton Technical Pub
8932,Leytonstone Spice,Leytonstone Spice
5223,Leziz Restaurant Dalston Junction,Leziz Restaurant Dalston Junction
6226,Lezz-et Mangal,Lezz-et Mangal
9049,Lezziz Charcoal Grill,Lezziz Charcoal Grill
4373,Li Veli Winery & Bistro,Li Veli Winery & Bistro
7093,Liberty Cheesesteak Company,Liberty Cheesesteak Company
7436,Library Lounge,Library Lounge
10983,Lido Cafe Bar,Lido Cafe Bar
11317,Lido Chinese Restaurant,Lido Chinese Restaurant
8950,Lido Noodle Bar,Lido Noodle Bar
2381,Light Bite,Light Bite
4367,Light House Restaurant,Light House Restaurant
7174,Light of Gurkha,Light of Gurkha
3757,Light of India,Light of India
10637,Light on the Common,Light on the Common
7850,Lighthouse,Lighthouse
388,Likya Ocakbasi Restaurant,Likya Ocakbasi Restaurant
5811,Liliana Coffee,Liliana Coffee
2859,Lilika's Treats,Lilika's Treats
5598,Lillie Langtry,Lillie Langtry
8878,Lillies BBQ & Grill,Lillies BBQ & Grill
649,Lily Tandoori,Lily Tandoori
3227,Lima Fitzrovia,Lima Fitzrovia
3621,Lima Floral,Lima Floral
3,Liman Restaurant,Liman Restaurant
4991,Lime Bar & Restaurant,Lime Bar & Restaurant
400,Lime Orange,Lime Orange
743,Lime and Thyme,Lime and Thyme
4288,Limeyard,Limeyard
10479,Limoncello Restaurant And Pizzeria,Limoncello Restaurant And Pizzeria
9772,Lin's Restaurant & Bar,Lin's Restaurant & Bar
1614,Lina Stores,Lina Stores
8867,Lincoln Lounge,Lincoln Lounge
10237,Lingo,Lingo
8084,Lion & Key Cafe Bar Grill,Lion & Key Cafe Bar Grill
5493,Lion and Unicorn pub,Lion and Unicorn pub
5122,Liqui Liqui,Liqui Liqui
1934,Lisa's,Lisa's
10593,Lite Bite,Lite Bite
344,Little Bay,Little Bay
1421,Little Bird,Little Bird
2386,Little Brazil Bar Restaurant Ltd,Little Brazil Bar Restaurant Ltd
7742,Little Drury,Little Drury
11377,Little Frankie's,Little Frankie's
5207,Little Georgia - Barnsbury,Little Georgia - Barnsbury
2083,Little House Mayfair,Little House Mayfair
4586,Little India,Little India
11235,Little Italy,Little Italy
11444,Little Japan,Little Japan
11548,Little Korea,Little Korea
9622,Little Lamb,Little Lamb
2715,Little Lisbon,Little Lisbon
6067,Little Napoli,Little Napoli
4612,Little Persia,Little Persia
7928,Little Pitt,Little Pitt
7587,Little Poland,Little Poland
2031,Little Portland Cafe,Little Portland Cafe
6086,Little Saigon,Little Saigon
951,Little Sardegna,Little Sardegna
1814,Little Sichuan,Little Sichuan
279,Little Social,Little Social
8953,Little Venice Cafe,Little Venice Cafe
5843,Little Vietnam,Little Vietnam
1356,Little Wonder Cafe,Little Wonder Cafe
3025,Little Woodford Cafe,Little Woodford Cafe
11500,Little Wu Chinese Restaurant,Little Wu Chinese Restaurant
751,Liz Cafe,Liz Cafe
7634,Lizzy's On The Green,Lizzy's On The Green
7580,Lizzy's at the Coal House,Lizzy's at the Coal House
7591,Llewelyn's,Llewelyn's
6780,Lmnh Kitchen,Lmnh Kitchen
6441,Lo Spuntino-Cafe Espana Restaurant,Lo Spuntino-Cafe Espana Restaurant
300,Lobos,Lobos
1001,Lobos Soho,Lobos Soho
6682,Lobster Bar,Lobster Bar
6054,Lobster Kitchen,Lobster Kitchen
10916,Lobster London,Lobster London
8926,Local Friends,Local Friends
2951,Locale,Locale
4889,Locale - Fulham,Locale - Fulham
3943,Locale Blackheath,Locale Blackheath
5954,Locanda 311,Locanda 311
1546,Locanda Canton Italian Restaurant,Locanda Canton Italian Restaurant
3151,Locanda Locatelli,Locanda Locatelli
5557,Locanda Ottoemezzo,Locanda Ottoemezzo
4472,Loch Fyne,Loch Fyne
9975,Lock Tavern,Lock Tavern
9484,Lockhouse,Lockhouse
4832,Lockside Camden,Lockside Camden
3750,Loco Mexicano,Loco Mexicano
8648,Loft,Loft
3106,Loghmeh,Loghmeh
5839,Lokhandwala,Lokhandwala
277,Lokkanta Meze & Barbeque,Lokkanta Meze & Barbeque
6401,Lokma Turkish Grill & Bar,Lokma Turkish Grill & Bar
7754,Lola's Bakery,Lola's Bakery
7365,Lolita Burgers and Kebabs,Lolita Burgers and Kebabs
9319,Lombok Restaurant,Lombok Restaurant
8962,Londek cafe,Londek cafe
6890,Londinium,Londinium
2752,London Beer Dispensary,London Beer Dispensary
2509,London Beer House,London Beer House
5432,London Bucks,London Bucks
11385,London Chinatown Restaurant,London Chinatown Restaurant
8175,London Diner,London Diner
3892,London House,London House
905,London Shell Co,London Shell Co
795,London Showboat,London Showboat
2812,London Steakhouse Co.,London Steakhouse Co.
2842,London Steakhouse Co. - Chelsea,London Steakhouse Co. - Chelsea
9542,London Stone,London Stone
11369,London Street Brasserie - Paddington,London Street Brasserie - Paddington
2004,London Velo,London Velo
10207,London Wall Bar & Kitchen,London Wall Bar & Kitchen
1086,Londres,Londres
3590,Long Arm Pub & Brewery,Long Arm Pub & Brewery
4273,Long Bar at Sanderson,Long Bar at Sanderson
3194,Long Lane Fish Bar,Long Lane Fish Bar
6734,Long White Cloud,Long White Cloud
9446,Loon Yee,Loon Yee
9955,Loong Kee,Loong Kee
3450,Loong Men Ke Zhan,Loong Men Ke Zhan
6024,Loop Bar,Loop Bar
2193,Lord Clyde,Lord Clyde
6457,Lord John Russell Pub,Lord John Russell Pub
7466,Lord Morpeth,Lord Morpeth
491,Lord Nelson,Lord Nelson
4911,Lord Northbrook,Lord Northbrook
5551,Lord Palmerston,Lord Palmerston
5471,Lord Raglan,Lord Raglan
579,Lord Wargrave,Lord Wargrave
4940,Lord's Tavern,Lord's Tavern
674,Lorenzo of Crystal Palace,Lorenzo of Crystal Palace
7629,Lorenzo of Dulwich,Lorenzo of Dulwich
11564,Lorenzos London,Lorenzos London
672,Lorne Restaurant,Lorne Restaurant
2100,Los Dos Amigos Limited,Los Dos Amigos Limited
8280,Los Locos Beach Club,Los Locos Beach Club
721,Los Molinos,Los Molinos
6011,Lost & Co,Lost & Co
628,Lost & Co Battersea,Lost & Co Battersea
9811,Lost Asia,Lost Asia
2650,Lost Boys Pizza,Lost Boys Pizza
780,Lots Road Pub and Dining Room,Lots Road Pub and Dining Room
10441,Lotus,Lotus
3924,Lotus Chinese Floating,Lotus Chinese Floating
6775,Lotus House,Lotus House
10915,Lotus Leaf,Lotus Leaf
7389,Louie Louie,Louie Louie
10358,Louies Bar,Louies Bar
4530,Louisiana Chilli Shack,Louisiana Chilli Shack
2140,Loulou's,Loulou's
7800,Lounge 33,Lounge 33
8371,Lounge Bar,Lounge Bar
7553,Lounge Brixton,Lounge Brixton
6888,Love Die Late,Love Die Late
1038,Love walk cafe,Love walk cafe
8029,Lovely House Dim Sum Restaurant,Lovely House Dim Sum Restaurant
5600,Loving Hut,Loving Hut
7784,Lower East Side Deli,Lower East Side Deli
6913,Lowiczanka,Lowiczanka
274,Lowlander,Lowlander
6113,Lowndes Bar & Kitchen,Lowndes Bar & Kitchen
9646,Lowry And Baker,Lowry And Baker
11384,Lpdj,Lpdj
6114,Lu-Ma Cafe,Lu-Ma Cafe
9822,Luc's Brasserie,Luc's Brasserie
5729,Luca,Luca
3296,Lucas Fish Bar,Lucas Fish Bar
812,Luce e Limoni Restaurant,Luce e Limoni Restaurant
646,Luciano's Ristorante Italiano,Luciano's Ristorante Italiano
965,Lucio,Lucio
3790,Lucky Fish Bar,Lucky Fish Bar
8195,Lucky Inn,Lucky Inn
5691,Lucky Seven Diner,Lucky Seven Diner
6593,Luigi's Restaurant,Luigi's Restaurant
6722,Lulu's Caribbean Cuisine,Lulu's Caribbean Cuisine
334,Luna Nuova,Luna Nuova
4068,Luna Rossa,Luna Rossa
1673,Lupins,Lupins
3270,Lupita Mexican Restaurant,Lupita Mexican Restaurant
2932,Lupo Bros.,Lupo Bros.
10809,Luppolo,Luppolo
2018,Lure Fish Kitchen,Lure Fish Kitchen
4852,Lurra,Lurra
6795,Lush Deli,Lush Deli
9748,Lutong Pinoy Filipino Restaurant,Lutong Pinoy Filipino Restaurant
4643,Lutyens Restaurant Bar and Private Rooms,Lutyens Restaurant Bar and Private Rooms
7407,Lux Thai,Lux Thai
9171,Luxford Bar & Kitchen,Luxford Bar & Kitchen
3784,Luzon,Luzon
4325,Lyceum Tavern,Lyceum Tavern
7455,Lydia Cafe,Lydia Cafe
4315,Lyle's,Lyle's
2960,L’angolo Bianco,L’angolo Bianco
7490,M&D Japanese Restaurant,M&D Japanese Restaurant
9220,M&S Cafe,M&S Cafe
8232,M's Place,M's Place
3693,"M, Threadneedle Street","M, Threadneedle Street"
11247,"M, Victoria Street","M, Victoria Street"
1594,M.Manze Pie and Mash,M.Manze Pie and Mash
378,MAMIE'S,MAMIE'S
614,MBER,MBER
9663,MEATliquor ED,MEATliquor ED
3661,MEATmarket,MEATmarket
1970,MENOO ECLECTIC FOODS,MENOO ECLECTIC FOODS
9894,MI + ME,MI + ME
4386,MK Bar and Grill,MK Bar and Grill
1129,MOCKitchen,MOCKitchen
998,MOD Pizza,MOD Pizza
4127,MOMMI,MOMMI
6224,MONICA cafe/restaurant,MONICA cafe/restaurant
11554,MW Buffet,MW Buffet
455,Ma Goa,Ma Goa
4722,Ma La Sichuan,Ma La Sichuan
5508,Ma Petite Jamaica,Ma Petite Jamaica
10471,Ma Po,Ma Po
4557,Ma' Plucker,Ma' Plucker
1399,Ma's Kitchen,Ma's Kitchen
9075,Maamalas Restaurant,Maamalas Restaurant
10497,Mabel's Bar & Grill,Mabel's Bar & Grill
4064,Mabel's Tavern,Mabel's Tavern
5752,Mac & Wild City,Mac & Wild City
4237,Mac & Wild Fitzrovia,Mac & Wild Fitzrovia
573,Macellaio RC Exmouth Market,Macellaio RC Exmouth Market
2834,Macellaio RC Northcote Road,Macellaio RC Northcote Road
150,Macellaio RC South Kensington,Macellaio RC South Kensington
883,Macellaio Rc Union Street,Macellaio Rc Union Street
7309,Machaan,Machaan
9591,Machete,Machete
2657,Machine,Machine
2747,Machiya,Machiya
2975,Mad Hatters Tea at Sanderson,Mad Hatters Tea at Sanderson
8700,Madame D,Madame D
1757,Maddalena Restaurant,Maddalena Restaurant
9710,Made Bar & Kitchen,Made Bar & Kitchen
11051,Made In Italy King's Road,Made In Italy King's Road
4185,Made in Brasil,Made in Brasil
6162,Made in Brasil Boteco,Made in Brasil Boteco
9990,Made in Camden,Made in Camden
10504,Made in Italy,Made in Italy
1704,Made in Italy 3.0 Northcote Road,Made in Italy 3.0 Northcote Road
5375,Made in Italy James Street,Made in Italy James Street
54,Made in South Pizzeria,Made in South Pizzeria
7557,Made of Dough,Made of Dough
2506,Madeira Star,Madeira Star
6684,Madeleine,Madeleine
9518,Madina Grill,Madina Grill
3060,Madison,Madison
8707,Madison Steak and Lobster,Madison Steak and Lobster
9796,Madisons at The Washington Mayfair,Madisons at The Washington Mayfair
2480,Madras Restaurant,Madras Restaurant
11088,Maedah Grill,Maedah Grill
4511,Magara Restaurant,Magara Restaurant
196,Maggie Jones's,Maggie Jones's
1010,Maggie's Cafe & Restaurant,Maggie's Cafe & Restaurant
7544,Maghreb Restaurant & Bar,Maghreb Restaurant & Bar
1140,Magic Falafel,Magic Falafel
882,Magpie,Magpie
7041,Magpie & Stump,Magpie & Stump
2432,Magpie and Crown,Magpie and Crown
1326,Maguro Sushi,Maguro Sushi
3354,Magus & the Fool,Magus & the Fool
10616,Mahal,Mahal
11517,Maharaja Indian Restaurant,Maharaja Indian Restaurant
11566,Maharaja of India,Maharaja of India
9344,Maharani,Maharani
7542,Mahatma Tandoori,Mahatma Tandoori
4400,Mahdi,Mahdi
8724,Mai Food,Mai Food
409,Mai Sushi,Mai Sushi
5617,Mai Thai Restaurant,Mai Thai Restaurant
10525,Maida,Maida
8499,Maida vale tandoori,Maida vale tandoori
1680,Maison Assouline,Maison Assouline
7867,Maison Blanc,Maison Blanc
8077,Maison Blanc - Holland Park,Maison Blanc - Holland Park
8988,Maison Blanc - St John's Wood,Maison Blanc - St John's Wood
940,Maison Du Mezze,Maison Du Mezze
9352,Maison Kayser,Maison Kayser
9762,Maison St Cassien,Maison St Cassien
4789,Maize Blaze,Maize Blaze
2336,Majjo's,Majjo's
5561,Makan Restaurant,Makan Restaurant
6220,Makatcha,Makatcha
8919,Make mine,Make mine
2246,Make'hai,Make'hai
8242,Maki,Maki
6904,Maki Sushi,Maki Sushi
1471,Makiyaki,Makiyaki
8303,Mala Indian Cuisine,Mala Indian Cuisine
3398,Mala Restaurant,Mala Restaurant
10656,Malabar,Malabar
3930,Malabar Junction,Malabar Junction
5643,Malaysia Hall - The Canteen,Malaysia Hall - The Canteen
1208,Malaysian Deli,Malaysian Deli
6490,Malibu Kitchen,Malibu Kitchen
7403,Malletti,Malletti
2092,Maloko,Maloko
8376,Mama Calabar,Mama Calabar
9335,Mama Dumplings,Mama Dumplings
5314,Mama Lan,Mama Lan
9751,Mama Lan Clapham Common,Mama Lan Clapham Common
8667,Mama Lan – East Village,Mama Lan – East Village
2331,Mama Leah's,Mama Leah's
1237,Mama Pho,Mama Pho
2567,Mama Thai,Mama Thai
2684,Mama's Cafe,Mama's Cafe
1747,Mama's Nepalese Kitchen,Mama's Nepalese Kitchen
7927,Mamasons Dirty Ice Cream,Mamasons Dirty Ice Cream
2790,Mamma Anna and Co.,Mamma Anna and Co.
5568,Mamma Dough,Mamma Dough
1642,Mamma Dough - Peckham,Mamma Dough - Peckham
2696,Mamma Mia,Mamma Mia
1721,Mamma Mia Italian Restaurant,Mamma Mia Italian Restaurant
1737,Mamma Mia Pizzeria,Mamma Mia Pizzeria
5319,Mamma Mia Ristorante Italiano,Mamma Mia Ristorante Italiano
4649,Mamounia Lounge Knightsbridge,Mamounia Lounge Knightsbridge
4630,Mamounia Lounge Mayfair,Mamounia Lounge Mayfair
4283,Mamuska!,Mamuska!
10110,Man Chui,Man Chui
9465,Man's Chinese Cuisine,Man's Chinese Cuisine
4906,Mandalay,Mandalay
2457,Mandalin Deli,Mandalin Deli
8357,Mandaloun,Mandaloun
9850,Mandaloun - Chelsea,Mandaloun - Chelsea
10654,Mandaloun Westfield,Mandaloun Westfield
9893,Mandarin,Mandarin
3633,Mandarin Kitchen,Mandarin Kitchen
6726,Mandarin Street,Mandarin Street
5777,Mangal 2 Ocakbasi Restaurant,Mangal 2 Ocakbasi Restaurant
3027,Mangal Express,Mangal Express
8048,Mangal Ocakbasi,Mangal Ocakbasi
712,Mangal Ocakbasi Restaurant,Mangal Ocakbasi Restaurant
6175,Mangetsu Sushi,Mangetsu Sushi
798,Mangia Bene,Mangia Bene
1718,Mangia Siciliano!,Mangia Siciliano!
1274,Mangio,Mangio
1792,Mango,Mango
2418,Mango Bottoms,Mango Bottoms
475,Mango Indian,Mango Indian
10401,Mango Shack,Mango Shack
9871,Mango Tree,Mango Tree
1808,Mangos Indian & Bangladeshi cuisine,Mangos Indian & Bangladeshi cuisine
473,Manhattan Grill,Manhattan Grill
1998,Mani's,Mani's
3851,Manicomio,Manicomio
5320,Manicomio - Gutter Lane,Manicomio - Gutter Lane
1136,Manitoba Tigella,Manitoba Tigella
4886,Manjal,Manjal
3901,Manna,Manna
7958,Manners Cafe,Manners Cafe
7058,Manos Grill 2,Manos Grill 2
4727,Manoush Cuisine,Manoush Cuisine
6313,Mantanah Thai Cuisine,Mantanah Thai Cuisine
242,Manuel's Restaurant and Bar,Manuel's Restaurant and Bar
777,Manuka kitchen,Manuka kitchen
1921,Manzanos Latin American Bistro,Manzanos Latin American Bistro
5342,Manze M,Manze M
2426,Manze Pie And Mash,Manze Pie And Mash
3578,Map Studio Cafe,Map Studio Cafe
7749,Maple & Fitz,Maple & Fitz
10926,Maple Leaf Sports Bar and Grill,Maple Leaf Sports Bar and Grill
4732,Mar I Terra - Blackfriars,Mar I Terra - Blackfriars
6253,Maramia Cafe,Maramia Cafe
7447,Marathon Restaurant and Bar,Marathon Restaurant and Bar
7911,Marathons Kebab,Marathons Kebab
4434,Marble Arch News,Marble Arch News
2372,Marcel & Sons,Marcel & Sons
2623,Marcella,Marcella
7263,Marco Pierre White Bloomsbury,Marco Pierre White Bloomsbury
10572,Marco Pierre White Steakhouse Bar & Grill,Marco Pierre White Steakhouse Bar & Grill
10631,Marco Pierre White Wheeler's Oyster Bar & Grill Room,Marco Pierre White Wheeler's Oyster Bar & Grill Room
10541,Marco Polo on the River,Marco Polo on the River
8806,Marco's New York Italian Brick Lane,Marco's New York Italian Brick Lane
6989,Marconi Bar at Me London,Marconi Bar at Me London
10526,Marco’s New York Italian,Marco’s New York Italian
5259,Marco’s New York Italian London Bloomsbury,Marco’s New York Italian London Bloomsbury
52,Marcus,Marcus
5861,Mare Moto London,Mare Moto London
9678,Margalla Grill,Margalla Grill
884,Margaux,Margaux
470,Margot,Margot
3076,Margot Bakery,Margot Bakery
2645,Mari Delicatessen,Mari Delicatessen
3740,Mari Vanna,Mari Vanna
8127,Maria Sabina,Maria Sabina
2779,Maria's Fish & Kebabs,Maria's Fish & Kebabs
930,Maria's Market Cafe,Maria's Market Cafe
326,Marianne Restaurant,Marianne Restaurant
557,Marie's Cafe,Marie's Cafe
2188,Marilucia,Marilucia
9248,Marina,Marina
8473,Marina The Greek,Marina The Greek
7637,Mariner Fish Bar,Mariner Fish Bar
2377,Marino Fish Bar,Marino Fish Bar
8845,Mario's Pizza,Mario's Pizza
5669,Mark & Spencer Kensington High Street,Mark & Spencer Kensington High Street
5473,Market,Market
8153,Market Bar & Restaurant,Market Bar & Restaurant
1984,Market Brasserie,Market Brasserie
7853,Market Cafe,Market Cafe
5822,Market Green,Market Green
10748,Market Place,Market Place
8101,Market Porter Bar,Market Porter Bar
5138,Marks & Spencer,Marks & Spencer
8859,Marks & Spencer Cafe,Marks & Spencer Cafe
8745,Marks and Spencer,Marks and Spencer
10778,Marks and Spencer Cafe,Marks and Spencer Cafe
808,Marks and Spencer Simply Food,Marks and Spencer Simply Food
6372,Marks and Spencer Simply food,Marks and Spencer Simply food
10796,Marksman Public House,Marksman Public House
10484,Marlborough Arms,Marlborough Arms
2294,Marmaris,Marmaris
4763,Marmaris Cafe,Marmaris Cafe
5238,Marmaris Restaurant,Marmaris Restaurant
1865,Marmelo Kitchen,Marmelo Kitchen
7189,Maroosh,Maroosh
3691,Maroush,Maroush
7018,Maroush Bakehouse Marble Arch,Maroush Bakehouse Marble Arch
253,Maroush Express,Maroush Express
4401,Maroush Gardens,Maroush Gardens
4096,Maroush II,Maroush II
6864,Maroush III,Maroush III
4122,Maroush Vere Street,Maroush Vere Street
5231,Marquess Tavern,Marquess Tavern
3928,Marquess of Anglesey Pub,Marquess of Anglesey Pub
2713,Marquis of Wellington,Marquis of Wellington
3403,Marquis of Westminster,Marquis of Westminster
2707,Marriott,Marriott
8640,Martello Hall,Martello Hall
2655,Martin Cafe,Martin Cafe
2253,Mary Ward Centre Cafe,Mary Ward Centre Cafe
2094,Mary's Garden,Mary's Garden
9821,Mas Q Menos City,Mas Q Menos City
3303,Mas Q Menos Farringdon,Mas Q Menos Farringdon
10610,Mas Q Menos Holborn,Mas Q Menos Holborn
11015,Mas Q Menos Soho,Mas Q Menos Soho
8788,Masak,Masak
5076,Masala,Masala
8608,Masala Express,Masala Express
3310,Masala Kitchen,Masala Kitchen
6910,Masala Lounge,Masala Lounge
10819,Masala Restaurant,Masala Restaurant
1164,Masala Wala Cafe,Masala Wala Cafe
3849,Masala Zone Bayswater,Masala Zone Bayswater
11101,Masala Zone Camden Town,Masala Zone Camden Town
2913,Masala Zone Covent Garden,Masala Zone Covent Garden
3158,Masala Zone Earls Court,Masala Zone Earls Court
4344,Masala Zone Islington,Masala Zone Islington
3162,Masala Zone Soho,Masala Zone Soho
10343,Masaledar Restaurant,Masaledar Restaurant
6098,Masgouf House,Masgouf House
80,Mash Steak House,Mash Steak House
5310,Masque Haunt,Masque Haunt
10865,Massala Hut,Massala Hut
1292,Massawa,Massawa
302,Massimo Restaurant,Massimo Restaurant
9359,Massis,Massis
10723,Massis Lebanese Grill & Bar,Massis Lebanese Grill & Bar
4213,Master Chef,Master Chef
1560,Master's Diner,Master's Diner
1688,Masters,Masters
3416,Masters Superfish,Masters Superfish
3981,Matahari Restaurant,Matahari Restaurant
9038,Matchbox,Matchbox
2644,Matheou's,Matheou's
333,Mattarello Restaurant,Mattarello Restaurant
958,Matthew's Kitchen,Matthew's Kitchen
1069,Maureens Pie & Mash,Maureens Pie & Mash
1988,Maurizio Barca,Maurizio Barca
11435,Max Orient,Max Orient
1685,Max's Sandwich Shop,Max's Sandwich Shop
7641,Maxim,Maxim
4919,Maximini Chinese Restaurant,Maximini Chinese Restaurant
843,Maximo Italian Bistrot,Maximo Italian Bistrot
2910,Maxwell's,Maxwell's
5343,May Fair Bar,May Fair Bar
613,May Fair Kitchen,May Fair Kitchen
6227,May Flower,May Flower
8284,May Ling,May Ling
8599,May Mei Wok,May Mei Wok
988,May The Fifteenth,May The Fifteenth
9918,May's Chinese Cuisine,May's Chinese Cuisine
2690,Maya DD's,Maya DD's
3121,Maydanoz,Maydanoz
3856,Mayfair Garden,Mayfair Garden
4268,Mayfair Pizza Co,Mayfair Pizza Co
7648,Mayflower Chinese Restaurant,Mayflower Chinese Restaurant
9283,Mayflower Restaurant,Mayflower Restaurant
7955,Mazaa,Mazaa
9514,Mazar,Mazar
1551,Mazaya,Mazaya
2906,Maze,Maze
2989,Maze Grill Mayfair,Maze Grill Mayfair
508,Maze Grill Park Walk,Maze Grill Park Walk
759,Maze Grill Royal Hospital Road,Maze Grill Royal Hospital Road
4018,Mazi,Mazi
5048,Mazi Mas,Mazi Mas
3973,Mc & Sons,Mc & Sons
10004,Mc Donalds' Notting Hill,Mc Donalds' Notting Hill
6513,McChina Eating,McChina Eating
8144,McDonald's,McDonald's
8613,McDonald's - King's Road,McDonald's - King's Road
10703,McDonald's - Kings Cross,McDonald's - Kings Cross
11236,McDonald's - Liverpool Street,McDonald's - Liverpool Street
10325,McDonald's - Oxford Street,McDonald's - Oxford Street
9965,McDonald's - Victoria Station,McDonald's - Victoria Station
9439,McDonald's Kensington High Street,McDonald's Kensington High Street
9365,McDonalds,McDonalds
9734,McDonalds Commercial Road E1,McDonalds Commercial Road E1
9526,McDonald’s,McDonald’s
7306,McGettigan’s Fulham,McGettigan’s Fulham
4882,McGlynn's Free House,McGlynn's Free House
8210,Mcdonald's,Mcdonald's
8767,Mcdonald's Restaurant,Mcdonald's Restaurant
8941,Mcdonald's Restaurants,Mcdonald's Restaurants
8092,Mcdonalds Restaurants,Mcdonalds Restaurants
5161,Me Me,Me Me
5767,Meadows Mediterranean,Meadows Mediterranean
5448,Meantime Bar and Restaurant,Meantime Bar and Restaurant
618,Meat House London,Meat House London
7707,Meat Liquor,Meat Liquor
3531,Meat Mission,Meat Mission
432,Meat People,Meat People
6599,Meat Rack,Meat Rack
10230,Meat and Shake,Meat and Shake
5893,MeatUp Grill,MeatUp Grill
11524,Meatliquor,Meatliquor
6044,Meatliquor N1,Meatliquor N1
3778,Med Bar Soho,Med Bar Soho
8900,Med Kitchen - Kensington Park Road,Med Kitchen - Kensington Park Road
5105,Med wraps ltd,Med wraps ltd
7878,Medicine Hut,Medicine Hut
1379,Mediterranea,Mediterranea
307,Mediterranean Cafe,Mediterranean Cafe
4809,Mediterraneo,Mediterraneo
3990,Mediterraneo Ristorante,Mediterraneo Ristorante
177,Medlar,Medlar
9317,Meds,Meds
1280,Meejana,Meejana
7238,Meera's Xpress,Meera's Xpress
2612,Meet District,Meet District
1989,Megan's by the Green,Megan's by the Green
3829,Megans Cafe & Grill,Megans Cafe & Grill
6691,Meghna - St John's Wood,Meghna - St John's Wood
9417,Mehek Indian Restarant,Mehek Indian Restarant
2544,Mei Ume Restaurant,Mei Ume Restaurant
7567,Meiwei London,Meiwei London
6324,Mekan,Mekan
6209,Mela Tandoori,Mela Tandoori
3124,Melabes,Melabes
2750,Melange,Melange
3676,Melanie Restaurant,Melanie Restaurant
5567,Melanzana Restaurant,Melanzana Restaurant
3024,Melba at the Savoy,Melba at the Savoy
3372,Mele e Pere,Mele e Pere
2607,Melek Kitchen,Melek Kitchen
8610,Melissa's Kitchen,Melissa's Kitchen
2508,Melody cafe,Melody cafe
8639,Melrose and Morgan,Melrose and Morgan
10236,Melt Room,Melt Room
10366,Melur,Melur
10223,Mem Saheb on Thames,Mem Saheb on Thames
3516,Mem and Laz Brasserie,Mem and Laz Brasserie
259,Memories of India Kensington,Memories of India Kensington
2879,Mems Cafe,Mems Cafe
2308,Memsaab Indian Cuisine,Memsaab Indian Cuisine
677,Memsaab islington,Memsaab islington
6883,Mendoza Square,Mendoza Square
10920,Menier Chocolate Factory,Menier Chocolate Factory
2393,Menya Ramen,Menya Ramen
7219,Meraki,Meraki
1389,Meraki Grill,Meraki Grill
3009,Meral's cafe bistro,Meral's cafe bistro
746,Meraz Cafe,Meraz Cafe
5741,Mercante,Mercante
8051,Mercer & Co,Mercer & Co
1919,Merchant House of Bow Lane,Merchant House of Bow Lane
11525,Merchant of Bishopsgate Freehouse & Kitchen,Merchant of Bishopsgate Freehouse & Kitchen
376,Merchants Tavern,Merchants Tavern
682,Mere,Mere
2486,Meridian Lounge,Meridian Lounge
2040,Meridionale,Meridionale
6619,Merkato,Merkato
8018,Mermaids Tail,Mermaids Tail
1655,Mes Amis,Mes Amis
3644,Mes Amis Cafe,Mes Amis Cafe
3219,Mesa Kitchen & Lounge,Mesa Kitchen & Lounge
9711,Meshwi,Meshwi
2145,Mesi's Kitchen,Mesi's Kitchen
4046,Meskerem Restaurant,Meskerem Restaurant
3848,Meson Don Felipe,Meson Don Felipe
1810,Mess Cafe,Mess Cafe
3462,Mestizo,Mestizo
9747,Met Su Yan,Met Su Yan
2631,Methi,Methi
5299,Metro Garden Restaurant & Bar,Metro Garden Restaurant & Bar
9764,Metro Italia Mill Hill,Metro Italia Mill Hill
9062,Mevali Shisha Bar,Mevali Shisha Bar
3371,Mews of Mayfair,Mews of Mayfair
10684,Mexican Express,Mexican Express
10896,Mexican Grille,Mexican Grille
6715,Meydan Sofrasi,Meydan Sofrasi
607,Meza,Meza
9866,Mezcal Cantina & Restaurant,Mezcal Cantina & Restaurant
2568,Meze & Barbeque,Meze & Barbeque
321,Meze Mangal,Meze Mangal
6203,Meze Mazis,Meze Mazis
